# == pyFAI calibration ==
# Distance Sample to Detector: 1.19389178917929 m
# PONI: 2.049e-01, 2.073e-01 m
# Rotations: -0.002895 0.008002 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1193.935 mm
# Center: x=712.167, y=724.652 pix
# Tilt: 0.488 deg  TiltPlanRot: 70.108 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.960e-04, 2.960e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.393e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> example-analysis/integrated.dat
#       2th_deg             I 
  1.181765e+00    2.392407e+00
  1.184623e+00    2.414532e+00
  1.187482e+00    2.415337e+00
  1.190340e+00    2.448856e+00
  1.193199e+00    2.468946e+00
  1.196057e+00    2.457480e+00
  1.198916e+00    2.467509e+00
  1.201774e+00    2.522163e+00
  1.204633e+00    2.496230e+00
  1.207491e+00    2.478922e+00
  1.210350e+00    2.483575e+00
  1.213208e+00    2.503821e+00
  1.216067e+00    2.558790e+00
  1.218925e+00    2.674336e+00
  1.221784e+00    2.819422e+00
  1.224642e+00    2.827523e+00
  1.227501e+00    2.684078e+00
  1.230359e+00    2.540769e+00
  1.233218e+00    2.425720e+00
  1.236077e+00    2.379543e+00
  1.238935e+00    2.405130e+00
  1.241794e+00    2.497705e+00
  1.244652e+00    2.514213e+00
  1.247511e+00    2.477708e+00
  1.250369e+00    2.425019e+00
  1.253228e+00    2.411115e+00
  1.256086e+00    2.456860e+00
  1.258945e+00    2.544467e+00
  1.261803e+00    2.588478e+00
  1.264662e+00    2.576443e+00
  1.267520e+00    2.533737e+00
  1.270379e+00    2.485362e+00
  1.273237e+00    2.484490e+00
  1.276096e+00    2.490648e+00
  1.278954e+00    2.447908e+00
  1.281813e+00    2.375420e+00
  1.284671e+00    2.347681e+00
  1.287530e+00    2.339585e+00
  1.290388e+00    2.376134e+00
  1.293247e+00    2.417340e+00
  1.296105e+00    2.493178e+00
  1.298964e+00    2.536927e+00
  1.301822e+00    2.562471e+00
  1.304681e+00    2.572996e+00
  1.307540e+00    2.507197e+00
  1.310398e+00    2.422637e+00
  1.313257e+00    2.435067e+00
  1.316115e+00    2.405168e+00
  1.318974e+00    2.406104e+00
  1.321832e+00    2.463928e+00
  1.324691e+00    2.516818e+00
  1.327549e+00    2.504504e+00
  1.330408e+00    2.502593e+00
  1.333266e+00    2.515228e+00
  1.336125e+00    2.522133e+00
  1.338983e+00    2.508228e+00
  1.341842e+00    2.555524e+00
  1.344700e+00    2.606714e+00
  1.347559e+00    2.540673e+00
  1.350417e+00    2.509566e+00
  1.353276e+00    2.487991e+00
  1.356134e+00    2.467102e+00
  1.358993e+00    2.465320e+00
  1.361851e+00    2.472577e+00
  1.364710e+00    2.442083e+00
  1.367568e+00    2.427166e+00
  1.370427e+00    2.446868e+00
  1.373285e+00    2.486271e+00
  1.376144e+00    2.532831e+00
  1.379002e+00    2.564282e+00
  1.381861e+00    2.577624e+00
  1.384720e+00    2.543554e+00
  1.387578e+00    2.532109e+00
  1.390437e+00    2.506575e+00
  1.393295e+00    2.451796e+00
  1.396154e+00    2.406126e+00
  1.399012e+00    2.407154e+00
  1.401871e+00    2.362647e+00
  1.404729e+00    2.343204e+00
  1.407588e+00    2.409402e+00
  1.410446e+00    2.485235e+00
  1.413305e+00    2.496998e+00
  1.416163e+00    2.518507e+00
  1.419022e+00    2.542907e+00
  1.421880e+00    2.504630e+00
  1.424739e+00    2.463229e+00
  1.427597e+00    2.436901e+00
  1.430456e+00    2.460923e+00
  1.433314e+00    2.456372e+00
  1.436173e+00    2.459657e+00
  1.439031e+00    2.472460e+00
  1.441890e+00    2.508135e+00
  1.444748e+00    2.543345e+00
  1.447607e+00    2.587905e+00
  1.450465e+00    2.554747e+00
  1.453324e+00    2.512722e+00
  1.456183e+00    2.450695e+00
  1.459041e+00    2.373943e+00
  1.461900e+00    2.319937e+00
  1.464758e+00    2.340704e+00
  1.467617e+00    2.401526e+00
  1.470475e+00    2.445540e+00
  1.473334e+00    2.470669e+00
  1.476192e+00    2.488234e+00
  1.479051e+00    2.473977e+00
  1.481909e+00    2.421576e+00
  1.484768e+00    2.394569e+00
  1.487626e+00    2.426474e+00
  1.490485e+00    2.458752e+00
  1.493343e+00    2.463564e+00
  1.496202e+00    2.443980e+00
  1.499060e+00    2.408874e+00
  1.501919e+00    2.370741e+00
  1.504777e+00    2.405168e+00
  1.507636e+00    2.428081e+00
  1.510494e+00    2.444759e+00
  1.513353e+00    2.474875e+00
  1.516211e+00    2.498183e+00
  1.519070e+00    2.464354e+00
  1.521928e+00    2.459315e+00
  1.524787e+00    2.473891e+00
  1.527645e+00    2.470967e+00
  1.530504e+00    2.461061e+00
  1.533363e+00    2.488447e+00
  1.536221e+00    2.474261e+00
  1.539080e+00    2.439465e+00
  1.541938e+00    2.418718e+00
  1.544797e+00    2.420617e+00
  1.547655e+00    2.421686e+00
  1.550514e+00    2.445194e+00
  1.553372e+00    2.449407e+00
  1.556231e+00    2.429159e+00
  1.559089e+00    2.457614e+00
  1.561948e+00    2.485876e+00
  1.564806e+00    2.471070e+00
  1.567665e+00    2.489332e+00
  1.570523e+00    2.459645e+00
  1.573382e+00    2.428192e+00
  1.576240e+00    2.470733e+00
  1.579099e+00    2.535151e+00
  1.581957e+00    2.583606e+00
  1.584816e+00    2.599846e+00
  1.587674e+00    2.539877e+00
  1.590533e+00    2.495198e+00
  1.593391e+00    2.459624e+00
  1.596250e+00    2.405424e+00
  1.599108e+00    2.394478e+00
  1.601967e+00    2.429963e+00
  1.604826e+00    2.443297e+00
  1.607684e+00    2.413459e+00
  1.610543e+00    2.377997e+00
  1.613401e+00    2.345184e+00
  1.616260e+00    2.297544e+00
  1.619118e+00    2.278984e+00
  1.621977e+00    2.321601e+00
  1.624835e+00    2.348248e+00
  1.627694e+00    2.332823e+00
  1.630552e+00    2.328866e+00
  1.633411e+00    2.354094e+00
  1.636269e+00    2.331917e+00
  1.639128e+00    2.351627e+00
  1.641986e+00    2.373639e+00
  1.644845e+00    2.397153e+00
  1.647703e+00    2.472658e+00
  1.650562e+00    2.553379e+00
  1.653420e+00    2.551602e+00
  1.656279e+00    2.513347e+00
  1.659137e+00    2.441262e+00
  1.661996e+00    2.337403e+00
  1.664854e+00    2.291684e+00
  1.667713e+00    2.312521e+00
  1.670571e+00    2.331738e+00
  1.673430e+00    2.355545e+00
  1.676288e+00    2.382244e+00
  1.679147e+00    2.413850e+00
  1.682006e+00    2.415060e+00
  1.684864e+00    2.446749e+00
  1.687723e+00    2.450032e+00
  1.690581e+00    2.458197e+00
  1.693440e+00    2.479855e+00
  1.696298e+00    2.488030e+00
  1.699157e+00    2.426514e+00
  1.702015e+00    2.378996e+00
  1.704874e+00    2.380097e+00
  1.707732e+00    2.373315e+00
  1.710591e+00    2.395413e+00
  1.713449e+00    2.396833e+00
  1.716308e+00    2.380348e+00
  1.719166e+00    2.332600e+00
  1.722025e+00    2.239097e+00
  1.724883e+00    2.214958e+00
  1.727742e+00    2.214195e+00
  1.730600e+00    2.247931e+00
  1.733459e+00    2.291492e+00
  1.736317e+00    2.343866e+00
  1.739176e+00    2.382366e+00
  1.742034e+00    2.450942e+00
  1.744893e+00    2.454838e+00
  1.747751e+00    2.446737e+00
  1.750610e+00    2.480289e+00
  1.753468e+00    2.478088e+00
  1.756327e+00    2.428401e+00
  1.759186e+00    2.410448e+00
  1.762044e+00    2.396573e+00
  1.764903e+00    2.351209e+00
  1.767761e+00    2.323735e+00
  1.770620e+00    2.295665e+00
  1.773478e+00    2.263088e+00
  1.776337e+00    2.311462e+00
  1.779195e+00    2.337721e+00
  1.782054e+00    2.361401e+00
  1.784912e+00    2.417232e+00
  1.787771e+00    2.397404e+00
  1.790629e+00    2.307692e+00
  1.793488e+00    2.236339e+00
  1.796346e+00    2.216454e+00
  1.799205e+00    2.227806e+00
  1.802063e+00    2.283503e+00
  1.804922e+00    2.316975e+00
  1.807780e+00    2.356901e+00
  1.810639e+00    2.402784e+00
  1.813497e+00    2.395721e+00
  1.816356e+00    2.330765e+00
  1.819214e+00    2.276847e+00
  1.822073e+00    2.234657e+00
  1.824931e+00    2.209442e+00
  1.827790e+00    2.224632e+00
  1.830649e+00    2.240106e+00
  1.833507e+00    2.257088e+00
  1.836366e+00    2.278908e+00
  1.839224e+00    2.253638e+00
  1.842083e+00    2.275134e+00
  1.844941e+00    2.291060e+00
  1.847800e+00    2.244861e+00
  1.850658e+00    2.223640e+00
  1.853517e+00    2.227551e+00
