# == pyFAI calibration ==
# Distance Sample to Detector: 1.1940462449808116 m
# PONI: 2.115e-01, 2.068e-01 m
# Rotations: -0.003366 0.000439 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1194.053 mm
# Center: x=712.136, y=716.184 pix
# Tilt: 0.195 deg  TiltPlanRot: 7.430 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.960e-04, 2.960e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.393e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /Users/mbcx9cd4/Documents/GitHub/pyFAI-integration-caking/analysis/integrated.dat
#       2th_deg             I 
  8.703608e-01    2.316519e+00
  8.717881e-01    2.278723e+00
  8.732154e-01    2.283227e+00
  8.746428e-01    2.329051e+00
  8.760701e-01    2.360823e+00
  8.774975e-01    2.352826e+00
  8.789248e-01    2.307968e+00
  8.803521e-01    2.282226e+00
  8.817795e-01    2.272181e+00
  8.832068e-01    2.289364e+00
  8.846342e-01    2.312960e+00
  8.860615e-01    2.371982e+00
  8.874888e-01    2.410154e+00
  8.889162e-01    2.383173e+00
  8.903435e-01    2.347617e+00
  8.917709e-01    2.336622e+00
  8.931982e-01    2.363467e+00
  8.946255e-01    2.386655e+00
  8.960529e-01    2.385792e+00
  8.974802e-01    2.412229e+00
  8.989076e-01    2.473469e+00
  9.003349e-01    2.495185e+00
  9.017622e-01    2.495115e+00
  9.031896e-01    2.529002e+00
  9.046169e-01    2.551710e+00
  9.060443e-01    2.567031e+00
  9.074716e-01    2.555004e+00
  9.088989e-01    2.523319e+00
  9.103263e-01    2.541694e+00
  9.117536e-01    2.487219e+00
  9.131810e-01    2.425081e+00
  9.146083e-01    2.420579e+00
  9.160356e-01    2.434057e+00
  9.174630e-01    2.457279e+00
  9.188903e-01    2.475687e+00
  9.203177e-01    2.477409e+00
  9.217450e-01    2.497240e+00
  9.231723e-01    2.510707e+00
  9.245997e-01    2.485262e+00
  9.260270e-01    2.522252e+00
  9.274544e-01    2.530305e+00
  9.288817e-01    2.526299e+00
  9.303090e-01    2.524927e+00
  9.317364e-01    2.508953e+00
  9.331637e-01    2.500535e+00
  9.345911e-01    2.509711e+00
  9.360184e-01    2.509793e+00
  9.374457e-01    2.511181e+00
  9.388731e-01    2.511075e+00
  9.403004e-01    2.474760e+00
